sector,quarter,cum_funding_m,num_companies,avg_funding_rounds,avg_investor_quality,total_venture_m,total_seed_m,total_angel_m,total_pe_m,max_single_round_m,avg_round_types,cum_funding_running_m,new_funding_m,rolling_2q_funding,prev_2q_funding,funding_velocity,round_frequency,valuation_stepup,investor_competition,sentiment_proxy,stem,investor_tier,sector_multiple,trl,regulatory_momentum,cost_years_remaining,competitor_count,current_value_score,momentum_score,future_potential_score,techstock_score,techstock_market_cap_m
Semiconductor Plant,2004-07-01,9.332799,3,1.6666666666666667,1.2333333333333334,9.332799,0.0,0.0,0.0,4.062799,0.3333333333333333,46.218598,9.332799,27.332799,18.885799,0.4472672589988247,0.12499999479166687,0.22571105555555557,0.041666666666666664,0.0,SemiConductor_Plant,1.5,10.0,7.0,0.8,6.0,1.6666666666666667,0.04550340199625778,22.064226686530485,81.6653970021594,28.157029951624022,973.4379658696607
AI Campus,2004-10-01,5.25,1,5.0,1.0,0.0,0.0,0.0,0.0,5.25,0.0,7.85,5.25,5.6,2.25,1.4888882271607877,0.03999999840000006,10.0,0.0,0.0,AI_Campus,1.5,18.0,5.0,0.6,5.0,1.0,0.005422611006711977,51.80682249483777,66.39531691628162,34.733386146666305,1830.7360113848383
AI Intersections,2005-01-01,139.5,15,1.0666666666666667,1.3066666666666669,139.5,0.0,0.0,0.0,74.0,0.4666666666666667,207.773683,139.5,191.56521500000002,16.208468,3.0,0.044378698093554145,1.4212944285354434,0.058333333333333334,0.0,AI_Intersections,1.2,20.0,3.0,0.4,8.0,6.0,0.22040340716351414,47.32802103015418,18.503794698938886,21.278917398154093,4550.455731763514
Autonomous Vehicles,2005-01-01,0.15,1,1.0,1.2,0.15,0.0,0.0,0.0,0.15,1.0,104.146347,0.15,0.5,19.53,-0.9743983116027489,0.015384615147928998,0.4285714285714286,0.125,-0.4889370039075977,Autonomous_Vehicles,1.5,12.0,6.0,0.3,4.0,1.0,0.10093037892529315,4.936863805677968,62.920883338043176,17.4984953180682,1942.1647467637806
Data Center,2005-01-01,4.5,1,1.0,1.0,0.0,4.5,0.0,0.0,4.5,0.0,44.2,4.5,4.7499999999999964,26.299999999999997,-0.8193916038254144,0.01075268805642271,10.0,0.0,-0.3148148148148148,data_center,1.4,14.0,7.0,0.5,3.0,1.0,0.03506349974264887,26.055304051643077,77.81534181252455,28.587217271103274,2636.5727395441663
Semiconductor Plant,2005-01-01,28.7,4,1.0,1.425,28.7,0.0,0.0,0.0,11.2,0.5,74.918598,28.7,38.032799,36.885799,0.03109597731376298,0.1666666597222225,2.756720182317658,0.0625,0.0,SemiConductor_Plant,1.5,10.0,7.0,0.8,6.0,2.25,0.08607600104001853,26.558876378860692,82.01778421609438,29.834483187040846,2187.570178208607
AI Intersections,2005-04-01,44.583807,12,1.1666666666666667,1.2583333333333333,44.583807,0.0,0.0,0.0,12.15,0.5,252.35749,44.583807,184.083807,68.273683,1.6962629993717637,0.03550295847484332,0.2,0.0625,0.0,AI_Intersections,1.2,20.0,3.0,0.4,8.0,7.5,0.2579612229987028,32.30376721844497,18.66802323669406,16.076508824828736,2062.1872519550434
Autonomous Vehicles,2005-04-01,27.0,1,1.0,1.5,27.0,0.0,0.0,0.0,27.0,1.0,131.146347,27.0,27.15,4.88,3.0,0.015384615147928998,10.0,0.125,0.4,Autonomous_Vehicles,1.5,12.0,6.0,0.3,4.0,1.0,0.1594325269008042,76.04223258997689,76.27002698599131,45.746061163750056,2213.5650388268696
Data Center,2005-04-01,1.5,1,1.0,1.2,1.5,0.0,0.0,0.0,1.5,0.0,45.7,1.5,5.9999999999999964,21.249999999999996,-0.7176470250519048,0.01075268805642271,0.3333333333333333,0.0,-0.3584905660377359,data_center,1.4,14.0,7.0,0.5,3.0,1.0,0.04373967735338804,2.448548466961463,77.15946420315075,20.164353885165553,1459.8644598427888
Semiconductor Plant,2005-04-01,117.13295,9,1.0,1.411111111111111,117.13295,0.0,0.0,0.0,40.0,0.6666666666666666,192.051548,117.13295,145.83294999999998,27.332799,3.0,0.37499998437500065,3.5714285714285716,0.08333333333333333,1.0,SemiConductor_Plant,1.5,10.0,7.0,0.8,6.0,4.25,0.22000802747279202,74.12961996387841,97.48315533174932,50.40415903128389,3312.237160717141
